"HolderAddress","Quantity","PendingBalanceUpdate"
"0x6f6b9a91a78c2e23ea086e45a53111ffa61195ad","114","No"
"0x7260b7935b67715066d5ff7e67732d8c65daa657","64","No"
"0xf2f263a8cabd87db1dfa79d477d855dc1deb6335","56","No"
"0x0bb49583e5d0f69ce00a5e669356f73690937c99","37","No"
"0xef26a2bc1c4488a5c9c21c37e522c028837faaf0","21","No"
"0x2d949780b0b180510e0e5a7f0e4f13ca8c8f509b","21","No"
"0xea9250d6dcff8b989323d3f0189fbddae0e3a3b9","21","No"
"0x2d5e62c8fb5a0f7832f38bec184ceb9caab4aaf5","21","No"
"0x1e2a325f5e25a6a018f97d6eae3805d884f4a371","21","No"
"0x33a77c77a7be52c04c5f2ba78e2dd294c53ce3e6","20","No"
"0x279114e9f61e9fffdf788ce1ad0c70bedec04920","20","No"
"0x4503acba98c53e71d76f9130c1862bfe57143c7f","18","No"
"0x8382833b956e00952c25d630f858c080d98a1b38","16","No"
"0xaf6cad9ab4434879c3efdb107166a575e98d27a9","16","No"
"0xc0766c2f0aa7a535ced7bc91428aafe06e35c62e","15","No"
"0x24c6bbb049784095b398f54b963cc5c9189436e3","14","No"
"0x17465f2a70b6c6b39e333615c27cecba3f937a8b","13","No"
"0x7356ece4705bfbd926bc787ccc758fd9406283c0","12","No"
"0x21a23e89bf76a6093ecaac516d09d852ffc11b40","10","No"
"0xe370ae35e5a5df409275476bbc54b72099a40578","10","No"
"0x8f5c4201e9f2d5fbad1dc0966f133c97e72d2a2d","10","No"
"0x1a0ee44788832c7702a462e5e0cecde19a2d432f","10","No"
"0x7ac9caaf65529318ae90225244ed011286e3d0ce","10","No"
"0x987af6aafa9415d1684905b4654338f4bed19ad8","9","No"
"0x85ea9014cc684269648906b4076cf539a1b62fdc","9","No"
"0xb3f33326d04f6d4b35554d437b7205d8ed206666","9","No"
"0x938ed11a437dcaa40f3189004cdad6677e56d61b","8","No"
"0x80820f9cd3687ea10a0f14c875b2b7edfdc18ce5","8","No"
"0x3e9c538e97c176eacd5724b0366aeb23a80d5f53","8","No"
"0x1d99989944f3561fd463646e2b332ef2ac27824b","7","No"
"0x500e4170fce824fcdc62d5e0d1f8e3a202634deb","7","No"
"0xe7483e7c7d04fda9f3f3f502d31dedc555cf91a1","6","No"
"0xc9bacc8a8cabda5dbfade2fc2740e2aec7414912","6","No"
"0x2f923012fc0733e9c12e5547ff170c890b5684bb","6","No"
"0xa098874622604a81c72ca5c2f2097f7948081d19","6","No"
"0x93f314312b02ed6d0fe3952018b468d3614c3abd","6","No"
"0x7e8df985cef010ba207b88d9754ba4c402309a87","5","No"
"0xb22a1b38f6c3a899a9657eccc94f6d30e812ed7d","5","No"
