"HolderAddress","Quantity","PendingBalanceUpdate"
"0x8c74ddb1f04fd51be446806d5861283661654552","13","No"
"0xf9dbd46ec67dad36794fe788c29147e00fc25fe7","11","No"
"0x15122c7235b25472c7eafe56c7413dc8f924e9b8","5","No"
"0x76ebbcee3c5d61a528b562091f49837e8cbda1fa","5","No"
"0x954d65e5310607e12f93f6156de92cd37ffcae8e","5","No"
"0xa320cd525af4396a9589c509a9526701b5876e59","5","No"
"0xd0b4245460987055c7e505a5fa8e3b26ee5ac2fb","5","No"
"0x024d9dec8d45e73b879405e6a8ee2b38f0ee1c70","4","No"
"0x6c8ee01f1f8b62e987b3d18f6f28b22a0ada755f","4","No"
"0x815612815d7fb01b1e8a97fe4a0996e77245a3aa","4","No"
"0x0c0393497e299a64beb3533f26945fb0fbea9bbf","3","No"
"0x342d662ce44bc2509d563c3a2c7ab8996801e714","3","No"
"0x549661d6ee4c4a835b646e1607d4f50242845f35","3","No"
"0x5b7a02e81dcabfb4e8701d3c51915ef5ff063860","3","No"
"0x7042fb13da04c495ea9a5804ccadd18830e516f8","3","No"
"0x7304491ed6471c2158e8361513e8f1b68daece4b","3","No"
"0x7a9fe22691c811ea339d9b73150e6911a5343dca","3","No"
"0x828702fc0c977f0b347c998c107df77618f85e87","3","No"
"0xd7a2d5e73c065b214433cfe13f68e8124cdcbe80","3","No"
"0xdbdb628736fada7d799581105d53c8b636e7467e","3","No"
"0xe27f08a01a3b1380866919ff768dfcf8cd7f3488","3","No"
"0xf92d1489e4ca27d7a9b69549be698616dfa7ac3c","3","No"
"0xfa44d702e8de0e52e4ee1557609b3b0703dfbae2","3","No"
"0xfd3d2d27be9c637530e53e44cedff62fc4ba352b","3","No"
"0x057522677a3c9bbc61dd6977a804a818e4baae92","2","No"
"0x0a72b56ce331cf97b9c693a08dce49a9566753b1","2","No"
"0x0aa741ddd29dc71a45da11ef408cdd21e65c8b4b","2","No"
"0x1783e9f68f503c56973fc7de7965fb0fed73979b","2","No"
"0x28c016f2ca09aed00b1208a91dca17ec20246294","2","No"
"0x31e4bac25cb49e965fb1ff3aa5b44ca792a387b2","2","No"
"0x3d452c57b63977a4474dbf7203857cac877e9d43","2","No"
"0x41332e61bedddc9c23f463ef5da4ca9125f6af3f","2","No"
"0x475545d483e132218a72273268654c3960c1f28c","2","No"
"0x482d84c4defeca594556e37914aac91bc53a131d","2","No"
"0x5d2f6b250638b9153bd75afdd63e5acb8849f206","2","No"
"0x6073ae7059582fb08ae030663c33d026b3ad0766","2","No"
"0x6444ff67a60e4d612f47236d7421e46bc2cdc69c","2","No"
"0x66309007d7bd45cc48d82d9407c3634a0df31b57","2","No"
"0x67be17f0c922321ddbb6356e8666121df58c4bfe","2","No"
"0x7402442d1ad6f300c554727b6ff2408ff028cc00","2","No"
"0x7728f3d2416dc0c6b363362301ada72e98ff1956","2","No"
"0x78b376bf401ecf149b006ecce48b439e5c3642c8","2","No"
"0x83e0da424410e567a5ee4059be6317408ab20f7e","2","No"
"0x9d5a366ffe90784b1c5b6942b6d2ef8f80f4ba2a","2","No"
"0x9f8179c2ae8890e3b467533d00e1c1c2dfd70b9b","2","No"
"0xa00da8f559ff215c3e2d6e4ad086c22281b5e2bf","2","No"
"0xaec7913f3a89ddf9b982b1d97a6f64d36c1c6051","2","No"
"0xb35d77527e9887f8343d7f44167a74ca06008c49","2","No"
"0xb92c2ef83f97b006a6c2ce21e6ad9d089b4aca54","2","No"
"0xbcc84dd5456fab41d2abe9d54c7a1abc8e74cd7e","2","No"
"0xbd2f7b25db136668a52c0cd913bffc6ffeeae9c0","2","No"
"0xcafb60f9e28f03cb1095d14a90cab8f2189a1c95","2","No"
"0xdaea675fda756b9504eb0a33bf077fa8d8e36a90","2","No"
"0xdd8c210271bd43ef255f77191492838d506783fb","2","No"
"0xe296803acadd6a12c66dd8608a760020219b763b","2","No"
"0x00ac8adcbf39c434b938baa7a68a01e530746c02","1","No"
"0x02afe48ad8c7c415c0e2f72c6bd87733d4b41ccd","1","No"
"0x055b3e58ab85d8afabdff35adf331ec688d8253c","1","No"
"0x059580c3f3cb7d3a23269a6c88355f30ab3e819f","1","No"
"0x063e2f25b5ddce22669b5fca8e7f99fb1866732e","1","No"
"0x078941339627549c28680587806c6aec6a60c5cf","1","No"
"0x0945c91d5ddc3cdfdf7fdd45ded0746d0f31296e","1","No"
"0x09dbe191065884cf36c18bfa5a9fde973edc86e3","1","No"
"0x09f2bf5a78807c77bb1d49ba9817dd2d7d86266a","1","No"
"0x0a46eabf147c1bcfb6b42213d4fc3e6428365de0","1","No"
"0x0a47c93706ca6b3f72dc0ff619484ca65a913b04","1","No"
"0x0a818e3ba5cc7f9e3ff1cc694e7c26a96285018b","1","No"
